Timestamp,What name do you wish to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon) ,What are your main areas of focus for your journalism? ,Where do you publish your work?,Other info for short self-description 

11/6/2022 19:03:14,Joy Press,@Joypress@mstdn.social,@joypress,"culture, TV, feminism",Vanity Fair,Vanity Fair correspondent; author of Stealing the Show: How Women Are Revolutionizing Television

11/6/2022 19:16:20,Carmelo Garcia,@carmelogarcia@mastodon.sdf.org,@CarmeloGarc1a,Politics,"BBC, Gloucestershire Live","Local democracy reporter covering councils and other public bodies in Gloucestershire, UK"

11/6/2022 19:19:59,Bryan Schott,@schotthappens@journa.host,@schotthappens,"Politics, Utah, extremism",sltrib.com,

11/6/2022 19:20:33,Lesley Jones,Lesleyjones@journa.host,@lesleyjones,Consumer reviews,"The Sun, Independent, BBC Good Food, Telegraph",Freelance journalist

11/6/2022 19:23:14,Maria Delaney,@mhdelaney@mastodon.ie,@mhdelaney,"Investigative Journalism, Health, Science, Social Justice",Noteworthy.ie & TheJournal.ie,Editor Noteworthy.ie / Award-winning investigative journalism platform from TheJournal.ie

11/6/2022 19:24:00,Noah Berlatsky,@nberlat@mas.to,@nberlat,"politics, social justice, arts criticism","NBC Think, Public Notice, Editorial Board, Independent, Document Journal, more","wrote a book about the original Wonder Woman comics, Wonder Woman: Bondage and Feminism"

11/6/2022 19:29:07,Nick Visser,@nick@journa.host,@nvisser,Breaking News,HuffPost,

11/6/2022 19:29:55,Nitish Pahwa,@nitishpahwa@journa.host,@pahwa_nitish,"technology, U.S. and international politics, climate change, rap music",Slate,I'm officially an associate writer for business and technology at Slate.

11/6/2022 19:36:57,BJ Mendelson,@bjmendelson@mastodon.social,@BJMendelson,"Tech, Privacy, Personal Finance",Books (St. Martin's Press),"Author of multiple books including ""Social Media Is Bullshit"" "

11/6/2022 19:38:20,Tae Kim,@firstadopter@mastodon.online,@firstadopter,Tech,Barronâs ,senior writer at Barronâs 

11/6/2022 19:41:01,Jason Paladino,@jasonpaladino@journa.host,@jason_paladino,"Extremism, surveillance, contracting, fraud, FOIA",,independent investigative reporter 

11/6/2022 19:50:14,Michael Bolden,@bolden@mastodon.social,@michaelbolden,Diversity and inclusion; sustainability; leadership development; cultural change; organizational transformation,PressInstitute.org,CEO of the American Press Institute 

11/6/2022 19:52:40,Ria Misra,@riamisra@mastodon.social,@misra,"science, outdoors",Wirecutter,

11/6/2022 19:52:42,Chris Hardie,@ChrisHardie@mastodon.social,@ChrisHardie,"Reinventing local news, solutions journalism","WesternWayneNews.com, ChrisHardie.com",

11/6/2022 20:07:55,Hadi Azmi,@amerhadiazmi@journa.host,@amerhadiazmi,"Malaysia, Southeast Asia, South China Sea",South China Morning Post (SCMP),Previously with Bloomberg Kuala Lumpur and BenarNews/Radio Free Asia

11/6/2022 20:09:49,James Russell,@jamesfortexas@mastodon.social,@jamesfortexas,"Arts, architecture, culture, Texas.","Next City, CityLab, Texas Observer, Arts and Culture Texas, D Magazine",Texas-based. Mostly retired lege reporter. Pivoting

11/6/2022 20:12:44,Henry Irvine,@henryirvine@writing.exchange,@thehenryirvine,"Tech, how-to","https://techhelpkb.com, freelance",I write how-to articles

11/6/2022 20:50:32,Anne-Elisabeth Moutet,moutet@mstdn.social,@moutet,"Politics, International Affairs, Culture","Columnist for The Telegraph (London), UnHerd (London), FranceInfo TV (Paris)",There's no good opinion/analysis journalism without having got the facts on the ground.

11/6/2022 21:03:31,Rod Hissong,https://toot.community/@rodhissong,@RodHissong,Executive Producer ,"WDRB, WDRB.com",

11/6/2022 21:05:51,Lois Parshley,@LoisParshley@mas.to,@loisparshley,"Science, Investigations, Longform",Freelance,Freelance investigative journalist

11/6/2022 21:09:15,Tasia Bass ,@Groovytasia@journa.host,Groovy Tasia,Digital ,"Buzzfeed, Mental Floss",Journalist currently working for Buzzfeed. Currently working on starting a 1 minute news segement for TikTok/Instagram/Youtube.  My dream is to one day has an educational show that breaks down the news in a fun way for teenagers and young adulrs

11/6/2022 21:17:50,Judy Stone,@drjudystone@mstdn.science,@drjudystone,"infectious diseases, medicine (general), global health, social justice","senior contributor Forbes, Medscape, freelance",Infectious disease physician; also author of Resilience (a Holocaust memoir) and Conducting Clinical Research

11/6/2022 21:21:17,Patrick Boehler,@pboehler@mastodon.social,BoehlerPatrick,"Editorial strategy, news product, collaborative journalism ",RFE/RL,Head of Digital Strategy 

11/6/2022 21:21:46,Sarah Baird,@sarahbaird@journa.host,@scbaird,"Rural communities, culture, and environment","Freelance (NYT, Bitter Southerner, Romper, WaPo, Guardian, etc.)",

11/6/2022 21:34:53,lanelmorgan,@westerner@mastodon.world,westerner,"Pacfic Northwest environment, history, society","Salish Current, etc",

11/6/2022 21:38:58,Arman Aghbali,@ArmanBaz@mstdn.ca,@ArmanBazz,"culture, spirit, tech",CBC Radio,Iâm a radio producer with Tapestry on CBC Radio

11/6/2022 21:40:43,Matthew Nadler,@Matthewmuses@mastodon.world,@mattewmuses,Community journalism,"Duxbury Clipper (Duxbury, Mass.)",

11/6/2022 21:51:17,Rozanna Latiff,@rozlatiff@journa.host,@rozlatiff,"Malaysia, politics, the economy, business, migration, human rights",Reuters,Malaysia correspondent for Reuters. Formerly with the New Straits Times.  

11/6/2022 21:54:16,David Hurlburt,@David@journa.host,@David5TV,"Politics, Investigative, Consumer & Finance, Weather/Climate/Environment, Health",Hearst TV stations and digital platforms ,"David Hurlburt is Director of Special Projects & Group Initiatives for Hearst Television. He manages group-wide initiatives and projects, including Forecasting Our Future, Project CommUNITY, and Hearst's 'Commitment' initiative for political coverage. David also has corporate oversight of Hearst TV's National Investigative and Consumer units, and the Washington News Bureau."

11/6/2022 22:00:51,Scott Nover,@scottnover@mas.to,@ScottNover,Technology,Quartz,

11/6/2022 22:06:38,Neal Boudette,@nealboudette,@nealboudette,"Automobiles, AVs, EVs, business, journalism, hockey","New York Times, USA Hockey Magazine",

11/6/2022 22:15:24,Liam Petterson,@liampetterson@aus.social,@LiamPetterson,Politics - Australia and international,The Conversation,"Deputy Politics Editor, The Conversation AU"

11/6/2022 22:22:32,Renee Klahr,@reneeklahr@mas.to,@reneeklahr,Politics,POLITICO,"Senior Breaking News Video Producer at POLITICO. Formerly: NPR, Hidden Brain, USA Today"

11/6/2022 22:36:50,Janine Zacharia,https://journa.host/web/@janinezacharia,@janinezacharia,"disinformation, media/technology, national security, foreign policy, plus local Bay Area news","San Francisco Chronicle, San Jose Mercury News, and edit student work for Peninsula Press","Former Washington Post, Bloomberg, now teaching journalism at Stanford, writing on disinformation, media, technology, national security and from time to time -- my old Mideast beat"

11/6/2022 22:45:05,Paula Penfold,@paulapenfold@mastodon.social,https://twitter.com/paulapenfold," justice,  crime, politics, and community impacts",NZ Stuff https://www.stuff.co.nz/national/stuff-circuit,Paula has a background in radio and TV reporting. In 2019 she won NZ TV Reporter of the Year award.

11/6/2022 22:46:22,Alan Boyle,@alanboyle@mastodon.social,b0yle,Space and science,GeekWire / Universe Today / Cosmic Log,"Previously: Science editor at MSNBC.com/NBCNews.com, author of ""The Case for Pluto"""

11/6/2022 22:55:11,Peter Tubbs,petertubbs@journa.host,@petertubbs,Agriculture and Rural Affairs,markettomarket.org,Journalist working on American agriculture and rural affairs

11/6/2022 23:01:22,David Reevely,davidreevely@mastodon.social,@davidreevely,"Tech, business and economics",www.thelogic.co,"Ottawa correspondent for The Logic, Canadaâs tech and innovation newsroom."

11/6/2022 23:02:55,Ashton Pittman,ashtonpittman@mastodon.social,@ashtonpittman,"Mississippi & U.S. news, politics, elections",mississippifreepress.org,I'm the senior reporter for the Mississippi Free Press

11/6/2022 23:04:19,Jeff Adelson,@jadelson@mstdn.social,@jadelson,Data journalism,The Times-Picayune | The Advocate | nola.com,

11/6/2022 23:14:32,Steve Reilly,@BySteveReilly@journa.host,@BySteveReo;;y,Investigative reporting on U.S. politics and policy,Grid News,

11/6/2022 23:34:45,Lauren Goode,@laurengoode@journa.host,@laurengoode,Tech and society,WIRED,

11/6/2022 23:39:27,Lizzie Baumgartner,@bordenbathory@c.im,@bordenbathory,"Radio News + Podcasting, Music Podcasting, Media + Journo Academia","WBBM Newsradio, Emo Social Club","An audio professional based out of Chicago who's an managing editor for pods in newsradio, hosts & produces an indie podcast and livestream about music subcultures and teachers journalism and radio to college students."

11/6/2022 23:40:09,David Hooper,@davidhooper@socl.bz,@davidhooper,"podcasting, music industry","WRLT, newsletter.bigpodcast.com",I produce audio (radio/podcast) related to the music industry and artists. I also write about podcasting via both a newsletter and books.

11/6/2022 23:50:36,Samuel Oakford,@samueloakford@journa.host,https://twitter.com/samueloakford,Open source and visual forensic investigations,The Washington Post,I am part of The Washington Post's Visual Forensics team. 

11/6/2022 23:51:26,Michael Alden,@michaelalden@mastodon.online,@michaelaldenfl,Television news,baynews9.com,Television news producer in Tampa Bay

11/6/2022 23:51:35,Jacoby Tekel èæ³ç®,@jacobytekel@sciences.social,,Component reliability and intelligent transportation,,"I am a PhD candidate in Industrial Engineering, Shanghai Jiao Tong University and my research interests are the component reliability and intelligent transportation."

11/6/2022 23:53:58,Nina Gregory,@ninaberries@indieweb.social,@ninaberries,"Culture, national and intl news",npr,"Former Head of News at Clubhouse, former Senior Editor at NPR, avid reader and Scrabble player "

11/7/2022 0:00:16,Bryan Clark,@bclark@masthead.social,@prBClark,"Idaho, opinion",Idaho Statesman,Opinion writer for the Idaho Statesman

11/7/2022 0:08:11,Anne Applebaum,@anneapplebaum@journa.host,@anneapplebaum,"Ukraine, Russia, European politics. Democracy, Autocracy. ",The Atlantic ,"historian, author, some teaching too "

11/7/2022 0:25:28,Randy Cassingham,@thisistrue@mastodon.social,ThisIsTrue,News commentary,thisistrue.com,Oldest online need commentary newsletter (since 1994)

11/7/2022 0:25:41,Walter Report,@walter_report@journa.host,@walter_report,Ukraine,,Independent Ukrainian news coverage.

11/7/2022 0:32:26,Pallab Roygupta,@pallab@sciencemastodon.com,https://twitter.com/RoyguptaP,Science,https://shaastramag.iitm.ac.in/,"Reader, learner"

11/7/2022 0:35:51,Bianca Nogrady,@biancanogrady@aus.social,@biancanogrady,Science,"The Guardian, Nature, WIRED, The Scientist etc","Freelance science journalist, founding president of Science Journalists Association of Australia"

11/7/2022 0:43:21,Daniel Nichanian,@taniel@journa.host,Taniel,"politics, voting rights, criminal justice, local elections",Bolts ,

11/7/2022 0:46:30,Josh Davis,@joshdavis@mastodon.social,@joshabla,Documentary video ,"Independent. Bylines for The Washington Post, VICE, NYT, NPR",Journalism professor at San Francisco State University 

11/7/2022 1:06:39,Jose Pagliery,@pagliery@mstdn.social,@Jose_Pagliery,Political investigations,The Daily Beast,former infosec / courts reporter

11/7/2022 1:07:53,Marc Rod,marcrod@jouna.host,@marcrod97,"Capitol Hill/Congress, Elections, Foreign Affairs (Israel, Iran, Middle East/North Africa), National Security, Antisemitism, Jewish community",Jewish Insider,

11/7/2022 1:08:00,Justin Cauchon,@cauchon@mastodon.social,@Cauchon,Product,Engadget,Director of Product at Engadget. Previously at WIRED and CNET. 

11/7/2022 1:14:35,Pratik Pawar,@pratik@mas.to,@pratikmpawar,"Global health, Science","Undark, Science News, The Wire",

11/7/2022 1:19:04,Bill Barol,@billbarol@journa.host,billbarol,"Creativity, entertainment, pop culture",Ex-Sr. Writer at Newsweek; have freelanced for many publications since ,"I currently produce Imagination & Junk, a podcast about creativity"

11/7/2022 1:29:06,Ryan Houlihan,ryanhoulihan@mastodon.social,ryanhoulihan,"Finance, Tech, Sociology","Input, The Financial Diet",Host of Too Good To Be True

11/7/2022 1:38:09,Michael Rodriguez ,michaelrdrguez@mstdn.ca,@michaelrdrguez,News,https://calgaryherald.com/author/mrodriguez/,Reporter with the Calgary Herald/Calgary Sun

11/7/2022 1:57:01,Ryan Lowery,@ryanlowery@journa.host,@ryanmlowery,"Politics, open government and criminal justice.","Source New Mexico, Las Vegas Optic, others",Independent journalist based in Albuquerque.

11/7/2022 2:01:45,Joshua Eaton,@joshua_eaton@journa.host,@joshua_eaton,investigative reporting,Hearst Connecticut Media Group,"formerly NBC, Roll Call, ThinkProgress"

11/7/2022 2:11:17,AJ Sadauskas,@ajsadauskas@aus.social,@ajsadauskas,"Tech, social issues, environmental issues",Freelance,"I've previously written for The Fifth Estate, F&P, IT News and SmartCompany."

11/7/2022 2:30:11,Josh Butler,https://aus.social/@joshbutler,joshbutler,Australian federal politics,Guardian Australia,"Guardian Australia reporter in Parliament House, Canberra"

11/7/2022 2:42:06,Matthias Eberl,@rufposten@social.tchncs.de,@matthiaseberl,"Data Protection, Multimedia","SÃ¼ddeutsche Zeitung, WDR, Netzpolitik",Freelancer

11/7/2022 2:43:09,Anna Featherstone,@AnnaFeatherstone@aus.social,@FeatherstoneInk,"Environment, Non-Fiction Writing, Publishing, Bees, Native Bees, Farming, Carers, Indie Publishing","The Guardian, Sydney Morning Herald, Books",Passionate about non-fiction books

11/7/2022 2:43:34,Stephen Cass,@stephencass@indieweb.social,@stephencass,Technology,IEEE Spectrum,"Senior Editor, Special Projects"

11/7/2022 3:04:37,Kris Holt,@krisholt@mastodon.social,@krisholt,"Tech, video games and entertainment ",Engadget and Forbes,"I'm a freelancer who lives in Montreal. I typically write about consumer tech, video games and streaming"

11/7/2022 3:16:26,Thin Lei Win ,@ThinInk@journa.host,@thinink,Food systems and climate change + some on Myanmar (where I come from) ,"Thin Ink (my own substack), Lighthouse Reports, The New Humanitarian, and others. Myanmar stories tend to be on Mekong Eye or Nikkei Asia  ","Born and raised in Myanmar, now in Italy via Singapore, UK, Vietnam and Thailand. Former Southeast Asia Correspondent for the Thomson Reuters Foundation. Founder of Myanmar Now news agency. Co-founder of Kite Tales, a storytelling project on Myanmar. "

11/7/2022 3:29:07,Laura Howes,@L_howes@mastodon.social,@L_Howes,"Science journalism - chemistry, life science, sci policy",Chemical & Engineering News,

11/7/2022 3:44:27,Esther Tseng,@estarla@mstdn.social,estarLA,"Food, Drink, Food Justice","Los Angeles Times, Bon AppÃ©tit, Food & Wine",

11/7/2022 3:47:03,Amanda Schrepf,@AmandaSchrepf@mastodon.top,@AmandaSchrepf,"Science, climate, biodiversity",Science & Vie hors-sÃ©rie ,I am also a student at ESJ Lille/UniversitÃ© Paris Saclay in the M2 Climat & Media

11/7/2022 4:04:05,Vishnu Prasad,@vishnu_prasad@mastodon.social,@visheprasad,Sports,Various outlets,I am from India and I like writing rather long sports features.

11/7/2022 4:24:16,Rachel Lense,@rachellense@c.im,@RachelLense,"Science, technology, space, citizen science, history, psychology",Freelance,"I do straight journalism as well as longer reported essays, narrative nonfiction, and other creative/literary writing. "

11/7/2022 4:43:14,Catherine Adams,@catherinecadams@journa.host,@catherinecadams,academic research into journalism and theatre; teaching journalism and communications at university,"Journalism Practice, Media and Communication, Gender Studies",Former BBC broadcast journalist and correspondent in Eastern Europe. 

11/7/2022 4:47:00,Thomas Riedel,@droidboy@mastodon.social,@boydroid,"Tech, startups, Metaverse, product development","metaverse-podcast.de, droid-boy.de",German based freelance journalist working in tech since 15 years. 

11/7/2022 4:47:24,Van Badham,@vanbadham@mastodon.social,@vanbadham,Commentary,The Guardian,"Columnist for Guardian Australia, bylines in New York Times, Bloomberg, Fairfax, The Telegraph (UK), author of âQAnon And On: A Short and Shocking History of Internet Conspiracy Cultsâ. "

11/7/2022 4:50:58,Jordan Wildon,@irohsint@0sint.social,@jordanwildon,"Disinformation, hate speech, conspiracy theories, digital investigations",isdglobal.org,"Digital investigator researching extremism, hate and disinformation. Senior Digital Methods Manager @isdglobal . Creator of Telepathy (Telegram OSINT tool), admin of http://0sint.social."

11/7/2022 5:05:53,Fiete Stegers,@fiete@mastodon.social,fiete_stegers,"disinformation, OSINT, digital stuff, politics in Germany","Freelance, formerly public broadcaster NDR",Currently research fellow at HAW Hamburg and journalism educator

11/7/2022 5:07:52,Geoffrey Gavalda,@geo_gavalda@piaille.fr,@geo_gavalda,"Fact-checking, OSINT, society, science, beliefs",Midi Libre,Skeptic journalist member of FIDESS

11/7/2022 5:18:15,Andrew Stroehlein,@andrewstroehlein@mastodon.social,@astroehlein,human rights,I work for Human Rights Watch but publish widely,

11/7/2022 5:40:14,Mike Melanson,@rwwmike@fosstodon.org,@rwwmike,Technology and Open Source,github.com/readme,Tech journalist since 2009

11/7/2022 5:48:32,John Feng,johnfeng@mastodon.online,@johnsfeng,East Asia politics and security,Newsweek,Contributing editor for Asia at Newsweek. 

11/7/2022 6:00:08,Tobias HÃ¼rter,@tobias@journa.host,@bescheidwisser,Science and philosophy,"Die Zeit, Hohe Luft and others",German and English. Loving the long form.

11/7/2022 6:17:09,Brian Bakker,@incautius@masthead.social,@incautius,"Business, Tech & Africa",Where I can earn a crust,production editor Inc.Africa

11/7/2022 6:19:01,Laurie Kalus,@kalus@mastodon.online,@lauriekalus,Trending stories worldwide,BBC World Service,Broadcast journalist at the BBC in London

11/7/2022 6:20:24,John Battelle,@johnbattelle@mastodon.scot,@johnbattelle,"tech, media, business, policy","battellemedia.com, various, therecount.com",longtime starter of things related to media/tech

11/7/2022 6:31:08,Anne Brataas,@storylab@masthead.social,@abstorylab,Science,"Ghost write with clients , web, print",

11/7/2022 6:36:15,Craig Grannell,https://mastodon.social/@craiggrannell,https://twitter.com/craiggrannell/,"Tech, Apple, design, games","Wired, Stuff, TapSmart, TechRadar, Wireframe",Occasional blog: https://reverttosaved.com // Website: https://craiggrannell.com

11/7/2022 6:40:39,Pandora Dewan,@dewanpandora@mastodon.online,@dewanpandora,"Science, health and tech",Newsweek,Science Reporter at Newsweek

11/7/2022 6:53:22,Soma Basu,@sbasu@mastodon.online,https://twitter.com/sbasu_in,"Disinformation, misinformation, conflict, violence, factcheck","AFP, The Diplomat",

11/7/2022 7:07:52,Megha Rajagopalan,@megha@mastodon.world,@meghara,"investigative reporting, international subjects, human rights",The New York Times,

11/7/2022 7:12:17,Janine Funke,@janinefunke@mastodon.social,@janinefunke,"History, Podcasts","ZDF, difference platforms for science Podcasts","I mainly research, script and produce science-podcasts in relation to historical topics. "

11/7/2022 7:38:03,Edward M. Shain,EMS1944,EMS1944,I'm retired,,

11/7/2022 7:39:57,Jason Szep,@jasonszep@mastodon.social ,@jasonszep,Investigative Journalism ,Reuters,

11/7/2022 7:43:15,Brady Dale ,@BradyDale@mastodon.xyz,@BradyDale,Cryptocurrency ,Axios,Seeks the weird stuff.

11/7/2022 7:49:59,Andy Bechtel,https://mastodon.online/@andybechtel,@andybechtel,editing,https://editdesk.wordpress.com/,I teach editing and writing at the journalism school at UNC-Chapel Hill.

11/7/2022 8:03:21,Kathy Roberts Forde,@kforde@mastodon.online,@krforde,"race, democracy, media criticism, news media reform",www.journalismandjimcrow.com,"Journalism historian/professor at UMass Amherst, studying the role of white newspaper leaders in South in building violent, white supremacist, near totalitarian political and economic worlds from 1875-1965. They organized insurrections, fomented racial massacres, normalized and even instigated racial terror lynchings, supported and expanded convict leasing, ended democracy in South. "

11/7/2022 8:13:58,Jack Jenkins,@jackmjenkins@mastodon.online,@jackmjenkins,Intersection of religion and politics,www.religionnews.com,National reporter at Religion News Service

11/7/2022 8:18:39,Scilla Alecci,@scillaa@mastodon.social,@scilla_alecci,"Investigative reporting; corruption, tax evasion, financial injustice ",icij.org,Reporter at the International Consortium of Investigative Journalists (ICIJ)

11/7/2022 8:23:47,Carol Giacomo,@giacomo@journa.host,@giacomonyt,"National security, foreign policy",Arms Control Today,"Editor. Arms Control Today, ex-NYT editorial board"

11/7/2022 8:27:06,Andy Kroll,@andykroll@mastodon.world,@andykroll,"Politics, voting, disinformation, conspiracy theories, ",ProPublica ,

11/7/2022 8:39:56,Pierre Romera,@pirhoo@mastodon.social,@pirhoo,"Data-journalism, investigative reporting; cross-border journalism.",https://www.icij.org,CTO at the International Consortium of Investigative Journalists (ICIJ)

11/7/2022 9:02:42,Rick Ellis,@aysrick@notacult.social,@aysrick,"Entertainment, Media, Streaming",AllYourScreens.com,

11/7/2022 9:09:37,Ty Burr,@tyburr@mastodon.online,@tyburr,"Film criticism, music, popular culture","Ty Burr's Watch List, Washington Post, WSJ","Boston Glove 2002-2021, EW 1990-2002, Pulitzer finalist in Criticism 2017"

11/7/2022 9:11:05,Sam Harper,@acetum@mstdn.social,@acetum,"Investigative journalism, housing crisis, far-right","Pivot, a french-language independent media: pivot.quebec","I am an investigative journalist with Pivot, an independent french-language media based in QuÃ©bec, Canada. I mostly toot in french, with some english. "

11/7/2022 9:11:54,Ty Burr,@tyburr@mastodon.online,@tyburr,"Film, media, popular culture","tyburrswatchlist.substack.com, Washington Post, WSJ","Boston Globe 2002-2021, EW 1990-2002, Pulitzer finalist in Criticism, 2017"

11/7/2022 9:13:15,Meg Lemke,@meglemke@journa.host,@meglemke,"comics, graphic novels, books, publishing, parenting, pregnancy, feminism","Publishers Weekly, MUTHA Magazine",I'm the editor in chief of MUTHA Magazine and the comics and graphic novel reviews editor at Publishers Weekly 

11/7/2022 9:17:33,Alex Barredo,@barredo@mastodon.social,somospostpc,Technology,mixx.io,

11/7/2022 9:24:09,Jeremy Simes,jeremysimes@mstdn.ca,@JeremySimes,"Provincial politics in Saskatchewan, Canada",Regina Leader-Post and Saskatoon StarPhoenix,

11/7/2022 9:40:41,Neil deMause,@neildemause@mastodon.online,@neildemause,"economics, sports, climate, city planning, crazy rich people","Hell Gate NYC, Global Sport Matters, Defector, City Limits, Field of Schemes","""Surprisingly levelheaded"" âPublishers Weekly"

11/7/2022 9:43:38,Christie Dietz,@christiedietz@mastodonapp.uk,@asausagehastwo,"Food, Travel, Sustainability","Publications include National Geographic Traveller and Traveller Food (UK, US, India, Turkey), Food and Travel, The Guardian, Time Out, Pit, The Spruce Eats, EATEN as well as various guide books and in-flight magazines.",Award-winning freelance food and travel writer based in Germany

11/7/2022 9:44:12,Susie Bright,@susiebright@journa.host,@susiebright,"Politics, Literary Crit, Pop Culture, Psychology","Freelance: print, digital and audio",https://en.wikipedia.org/wiki/Susie_Bright

11/7/2022 9:50:40,Jennifer Peebles,@jpeebles@mastodon.social,@jpeebles,Data journalism and freedom of information,The Atlanta Journal-Constitution,Data journalist and slowest banjo picker in ATL

11/7/2022 9:52:17,Duncan McLeod,@duncan@masthead.social,mcleodd,"Tech, business",https://techcentral.co.za/,"Editor of TechCentral, a leading South African technology news website"

11/7/2022 10:12:29,Vittoria Pirone ,@Vittoria@mastodon.social,@Vittoria Pirone,"Geopolitics, global news, public policy, human rights, economics",France 24 ,"Senior news editor and executive producer at France 24, covering global news. Formerly at Bloomberg and CNBC. Interested in regulation, EU public policy, financial markets and economics, environment and public health."

11/7/2022 10:15:10,Emily McFarlan Miller,@emmillerwrites@mastodon.online,@emmillerwrites,"Religion and Spirituality (specifically, mainline Protestantism and alternative faiths)",religionnews.com,National reporter for Religion News Service

11/7/2022 10:19:05,Dmt,@dmt,,,,

11/7/2022 10:21:29,Dtn2833,@dtn2833,,,,

11/7/2022 10:22:03,Natalie Moore,@nemoore@journa.host,@nemoore_,"Travel, Culture, Food",Texas Highways Magazine,Head of digital for Texas Highways/audience journalist. Previously at Texas Monthly

11/7/2022 10:30:06,Izzie Ramirez,@izzieramirez@masthead.social,@IzzieRamirez,"culture, food, climate, science ",Vox,"Deputy Editor, Future Perfect at Vox"

11/7/2022 10:40:52,Brian Fagioli ,@brianfagioli@mastodon.xyz,@brianfagioli,Technology,BetaNews.com,Hi :) 

11/7/2022 10:50:40,Brian Fung,@b_fung@masto.ai,@b_fung,"Technology, law and regulation, government",CNN,"Covering technology policy since 2013 from Washington, D.C."

11/7/2022 10:57:41,Carolyn Bick,@cbick@c.im,@CarolynBick,Police accountability,South Seattle Emerald,I am a police accountability journalist with the South Seattle Emerald. My primary focus is reporting on the City of Seattle's police accountability system.

11/7/2022 11:02:52,Andrew Tarantola,@Terrortola@awscommunity.social,@terrortola,"Technology, EV, space, robotics, and AI.",Engadget,I'm a Senior Editor for Engadget's Future desk

11/7/2022 11:06:27,Darian Woods,@darianwoods@econtwitter.net,@darianwoods,"Economics, business, storytelling",The Indicator from Planet Money,Co-host of NPR's daily economics podcast The Indicator from Planet Money

11/7/2022 11:12:08,Jacob Resneck,@jacobresneck@journa.host,@jacobresneck,"Labor, democracy issues",Wisconsin Watch,"A working journalist for more than a decade. Now based in Oshkosh, Wisconsin. jacobresneck.com"

11/7/2022 11:14:25,Ross Gianfortune,rjgianfortune@metalhead.club,rjgianfortune,"Business of government, federal government, oversight",GovExec.com,"I'm the podcast host for GovExec Daily, the flagship podcast of GovExec Media Group"

11/7/2022 11:14:33,Eric W. Austin,@LocalLakeman,,"Small town news, culture, technology","The Town Line newspaper, China, ME",I work for a small town newspaper and write about tech and culture.

11/7/2022 11:14:46,Andrew RC Marshall,@andrewmarshall@journa.host,@journotopia,"Politics, human rights, conflict, crime",Reuters,Pulitzer Prize-winning investigative reporter. Author of The Trouser People. Co-author of The Cult at the End of the World.

11/7/2022 11:17:57,Julie Zerbo,tfl.mastodon.online,@thefashionlaw,fashion/retail law and business ,The Fashion Law,Writing about legal and commercial challenges facing the retail industry

11/7/2022 11:20:05,Peter R Butler,@peterbutler@mas.to,https://twitter.com/PeterButlerCNET,"Personal finance, software, mobile phones, health, home",CNET,How-To writer for CNET; Old Download.com content manager

11/7/2022 11:27:22,Clifford Colby,@cliffc@sfba.social,@cliffordcolby,"Technology, personal financial, health",cnet.com,How-To section managing editor at CNET.

11/7/2022 11:31:31,Aaron Pressman,@ampressman@mastodon.social,@ampressman,"The local tech scene around Boston, with occasional broader tech stuff",https://www.bostonglobe.com/business/technology/,"Boston based reporter, podcaster, Celtics fan, dad, hubbie and dog person. "

11/7/2022 11:45:56,Steven Levy,@stevenlevy@mastodon.social,@stevenlevy,tech ,wired.com,

11/7/2022 11:46:23,Elizabeth Gibney,@LizzieGibney@mas.to,@LizzieGibney,"Science, physical sciences, space & astronomy, policy",Nature (news and features),Senior reporter

11/7/2022 12:06:43,Liam Dillon,@dillonliam@mas.to,@dillonliam,"Housing, Real Estate, California, Los Angeles",Los Angeles Times,

11/7/2022 12:09:28,Antoine Tricot,@antoinetricot@piaille.fr,@johnmaloko,"Social, Working Class, History, Memory, Digital Words","France Culture Radio, Malking Waves Podcast","Radio Feature, Podcast, Sound Journalism, wrote a book about the working class neighborhoods in France"

11/7/2022 12:16:13,Alex Hern,@alexhern@mastodon.social,@alexhern,Tech,The Guardian,UK tech editor at the guardian

11/7/2022 12:18:14,Graeme McNaughton,@iamgmcnaughton@mastodon.online,@iamgmcnaughton,Politics,"Guelph Mercury Tribune, Toronto Star",

11/7/2022 12:21:42,Robin Epley,@ByRobinEpley@sfba.social,@ByRobinEpley,California opinion journalism ,Sacramento Bee,

11/7/2022 12:28:36,Laura Kate Dale,@LauraKBuzz@tech.lgbt,LauraKBuzz,"LGBT / Trans Rights, Accessibility, Video Games",Freelance / LauraKBuzz.com,Accessibility / LGBT - Consultant / Journalist

11/7/2022 12:34:42,Christine Hall,@BrideOfLinux@mastodon.opencloud.lu,@BrideOfLinux,"Open source technology, music, politics","FOSS Force, Alternative Approaches, If This Be Treason",

11/7/2022 12:41:45,Curtis Franklin,@Kg4gwa@mastodon.sdf.org,@kg4gwa,Cybersecurity,DarkReading.com ; Omdia.com,Long-time journalist covering technology. Senior Analyst at Omdia; Co-host of This Week in Enterprise Technology

