Timestamp,What name do you wish to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),Feel free to add a brief bio,What hashtags (up to 5) best describe the content you post?,
11/9/2022 8:57:55,Marcel Swart,@Marcel_Swart@mastodon.online,@Marcel_Swart,ð³ð± â¼ï¸ @icreacommunity Prof #TheoChem â¼ï¸ F @RoySocChem @yacadeuro â¼ï¸ D @iqccudg â¼ï¸ M @acad_euro â¼ï¸ E #ICA @SciPost_Chem â¼ï¸ Views my own â¼ï¸ Pronouns: he/him/his,#CompChem #InorgChem #TheoChem #DFT #DFAs,https://mastodon.online/@Marcel_Swart

11/9/2022 8:58:33,Angela Harper,@physics_ange@tech.lgbt,@physics_ange,I am a Postdoctoral Computational Chemist working in Berlin at the Fritz Haber Institut,#academictwitter #compchem #NMR #physics #machinelearning,https://tech.lgbt/@physics_ange

11/9/2022 8:59:39,Ellis Crawford,@EllisCrawford@fediscience.org,@DrEllisCrawford,"I currently work as an editor for RSC chemistry journals. My background is previously secondary school teaching, a brief postdoc in organometallic chemistry from a theoretical chemistry perspective and I completed a PhD focused on density functional theory for catalysis, including QM/MM explorations of enzymes and DFT for transition metal mediated reactions.",#publishing #compchem #chemicalscience #education #chemistry,https://fediscience.org/@EllisCrawford

11/9/2022 9:03:54,Patrick W Fritz,@PatrickWFritz@fediscience.org,@PFritz_Chem,PhD student in synthetic organic materials chemistry.,#Research #Outreach #OrganicMaterials #RealTimeChem,https://fediscience.org/@PatrickWFritz

11/9/2022 9:06:21,Paul Beales,@BealesLab@mstdn.social,@BealesLab,"Professor of Soft Matter & Biophysics. Membranes, vesicles, medical applications, artificial cells. Interdisciplinary science education. Art-science interface.",#softmatter #lipidtime #syncell #biophysics #nano,https://mstdn.social/@BealesLab

11/9/2022 9:09:21,Micaela Matta,@micaelamatta@fosstodon.org,@micaelamatta,New PI at Kingâs College London,#compchem #opensource #bioelectronics ,https://fosstodon.org/@micaelamatta

11/9/2022 9:10:03,Adrian Nightingale,@a_m_nightingale@mastodon.world,@a_m_nightingale,Lecturer at @UoSEngineering / ex-@NERCscience Industrial Innovation Fellow / Microfluidics / Chemical sensors / Flow chemistry / ð¬ð¬,,https://mastodon.world/@a_m_nightingale

11/9/2022 9:15:31,Kawthar Bouchemal,@KawtharBouchemal@noc.social,@KawthaBouchemal,,#polymer #drugdelivery #ScienceMastodon #formulation,https://noc.social/@KawtharBouchemal

11/9/2022 9:18:40,Cristina Trujillo ,@TrujilloGroup@mastodon.online,@Trujillo_Group,Lecturer of Computational & Theoretical Chemistry at The University of Manchester,#chemistry #chemiverse #compchem #organocatalysis,https://mastodon.online/@TrujilloGroup

11/9/2022 9:20:50,Sven Rogge,@sven_rogge@mastodon.online,@sven_rogge,"Senior postdoc @FWOVlaanderen at @UGent * Engineering Physicist * MOFs are like people: under pressure or when strained, they collapse. But why?",#compchem #MOFs #simulations #perovskites,https://mastodon.online/@sven_rogge

11/9/2022 9:25:23,Dr Anna Croft,@annakcroft@scholar.social,@annakcroft,, #reactionmechanisms  #enzymes  #ionicliquids #compchem #WomenInSTEM,https://scholar.social/@annakcroft

11/9/2022 9:30:44,Matthew Partridge,@MCeeP@fediscience.org,MCeeP,I am the creator of ErrantScience and frequent science cartooner ,"ErrantScience, SciComm, Cartoon, Science, RealTimeChem",https://fediscience.org/@MCeeP

11/9/2022 10:04:27,Bee Hockin,@beehockin@mastodon.online,@beehockin,Photocatalysis! SciComm! Baked goods! Development Editor for the Royal Society of Chemistry,#ActuallyAutistic #LGBTQ+ #chemistry #publishing,https://mastodon.online/@beehockin

11/9/2022 10:34:57,Ilka Hermes,@hermesilka@mastodon.online,,"Physical chemist, atomic force microscopy on energy materials and functional polymers, group leader at IPFDD",#chemistry #energy #AFM #charges #ferroics,https://mastodon.online/@hermesilka

11/9/2022 10:49:53,Mohamad Moosavi,@moosavi@mastodon.social,@MoosaviSMohamad,Incoming Asst. Prof. @ChemEng_UofT | #MachineLearning and #AI for the Chemical Sciences,#Machine_Learning #AI #CompChem #MaterialsScience,https://mastodon.social/@moosavi

11/9/2022 10:51:03,Kasper Moth-Poulsen,@MothPoulsen@mstdn.science,@KMothPoulsen,"ICREA prof. @icmabCSIC,  Prof. at CHALMERS, ERC StG & CoG, FRSC, Assoc. Editor at J. Mater. Chem. C, @NanoScientifica & @ConScienceAB",#chemistry #energy #research #photochemistry #synthesis,https://mstdn.science/@MothPoulsen

11/9/2022 10:51:18,Alonso Rosas-HernÃ¡ndez,@alonso@mathstodon.xyz,@AlonsoRosasH,I'm an assistant professor of chemistry at Aarhus University. I am interested in catalysis with applications for energy conversion and circular economy. ,,https://mathstodon.xyz/@alonso

11/9/2022 10:56:04,AlÃ¡n Aspuru-Guzik,@aspuru@mastodon.social,@A_Aspuru_Guzik,Professor of Chemistry and CS at University of Toronto. Vector Institute. CIFAR. Kebotix. Zapata Computing. Digital Discovery. Acceleration Consortium.,#artificialintelligence #quantumcomputing #selfdrivinglabs #chemistry #computerscience,https://mastodon.social/@aspuru

11/9/2022 11:02:30,Natalie Starkey,@StarkeyStardust@scicomm.xyz,@StarkeyStardust,Science Media Producer for Chemistry World at Royal Society of Chemistry. Background in geo- and cosmo-chemistry sample analysis (volcanoes/comets/asteroids). Ran a NanoSIMS mass spec lab at The Open University and used all manner of analytical instrumentation over the years. Moved into science communication in 2015 and have written two popular science books: Catching Stardust; Fire & Ice.,#SciComm #SpaceScience #Astrochemistry #Dogs #ScienceWriting,https://scicomm.xyz/@StarkeyStardust

11/9/2022 11:06:57,Lydia Sosa Vargas,@Dr_Curieosity@qoto.org,@Dr_Curieosity,"Researcher on organic materials for electronics & photonics,  #STEMinist  (views and opinions are my own) ð©âð¬ð²ð½ð«ð· @SorbonneUniversite @CNRS",#scicomm #polymers #OrganicElectronics #ResearchLife #DiversityAndInclusion #WomenInSTEM,https://qoto.org/@Dr_Curieosity

11/9/2022 11:23:59,Rafal Bielas,@RafalBielas@mastodon.online,@RafalBielas,"Postdoctoral Researcher at RCSI Dublin, polymer science; Silesian ðð, book lover, ðªðº","#chemtwitter, #polymers, #silesia, #polypeptides",https://mastodon.online/@RafalBielas

11/9/2022 11:37:36,Iva Pashkuleva,@Pashkuleva@mastodon.world,@iva_pashkuleva,"I am a Principal Investigator at 3Bs Research Group, University of Minho, Portugal. My research focusses on the elucidation of glycan role in cellular communication and the use of the glycans diversity in design and synthesis of functional biomaterials. We have developed new analytical methods and platforms for characterization of challenging to measure glycan-protein and glycan-cell interactions; glycan-based delivery systems; selective cancer therapies based on glycan amphiphiles and biocatalytic self-assembly; and extracellular supramolecular mimics.",#glycans; #glycosaminoglycan; #supramolecular chemistry; #biomaterials,https://mastodon.world/@Pashkuleva

11/9/2022 11:57:52,Brent Neal,@BrentN@mastodon.online,@BrentN,Polymer scientist and technology leader in the area of advanced materials. ,,https://mastodon.online/@BrentN

11/9/2022 11:59:06,Ksenija Glusac,@ksenia_glusac@qoto.org,@Ksenija_Glusac,"professor of physical chemistry @ChemistryatUIC, joint appointment scientist @Argonne, researching photochemistry and solar fuels. ",,https://qoto.org/@ksenia_glusac

11/9/2022 11:59:55,Kay Severin,@kay_severin@mastodon.online,@kay_severin,Professor of Chemistry at the EPFL,#chemistry #laughiggas #supramolecular,https://mastodon.online/@kay_severin

11/9/2022 12:08:49,Saurabh Chitnis ,@sschitnis@qoto.org,@chitnislab,"Synthetic inorganic chemist, PI in the Chitnis lab at Dalhousie University ",#realtimechem #maingroup #chemistswhobrew #Halifax #synthesis,https://qoto.org/@sschitnis

11/9/2022 12:16:31,Arthi Jayaraman,@arthij@mstdn.science,@arthijayaraman,"Chemical Engineering Professor, PI for a computational soft materials lab, Assoc. editor for Macromolecules & Deputy editor for ACS Polymers Au, Director of a NSF-NRT program",#computing #datascience #polymer #publication #DiversityEquityInclusion,https://mstdn.science/@arthij

11/9/2022 12:18:29,Fer,@gomobel@mastodon.social,@gomobel,"Chemist turned science writer and communicator. Co-funder of @AgataComms. Bylines in Chemistry World, C&EN and others. ",#Scicomm #ChemTwitter #SciWri ,http://mastodon.social/@gomobel

11/9/2022 12:40:44,Anastasia Elias,@AnastasiaE@mstdn.social,@AnastasiaSci,"Professor in Chem Mat Eng at UAlberta and Ass Dean Research. Research interests: polymer-nanomaterial composites, biopolymers, micro- and nanofabrication. Many of my best friends are chemists.",,https://mstdn.social/@AnastasiaE

11/9/2022 12:53:58,Paco Fernandez-Trillo,@BioNanoPaco@mstdn.science,@BioNanoPaco,"OK, now that this is getting lively, a brief introduction; I am a synthetic chemist developing polymer-based nanomaterials for biology and medicine. Have an interest in drug delivery & microbiology; I am from the not-so sunny part of Spain, #Galicia, and have just returned home after 13 years working and living in the UK; Tweets are quite random, you'll find here either rants or shameless scientific promotions...oh, and pictures of food/drinks.",#chemistry #academia #nano,https://mstdn.science/@BioNanoPaco

11/9/2022 12:55:30,Kesava Phaneendra Cherukuri,@kesavacherukuri@mastodon.online,@kesavacherukuri,"Postdoc, Synthetic Chemist/Chemical Biologist",,https://mastodon.online/@kesavacherukuri

11/9/2022 13:02:49,Laura Howes,@L_howes@mastodon.social,@L_Howes,"C&EN writer, long time #ChemTwitter member",,https://mastodon.social/@L_howes

11/9/2022 13:08:46,Tero-Petri Ruoko,@TPRuoko@mstdn.science,@TPRuoko,"I'm a chemistry postdoc at Tampere University in Finland. I'm working on liquid crystal elastomers, conducting polymers, and organic electronics in general. Will probably plug my latest research shamelessly here ð","Organic electronics, conducting polymers, liquid crystal elastomers",https://mstdn.science/@TPRuoko

11/9/2022 13:13:10,Paul Coxon ,@paulcoxon@mastodon.social,@paulcoxon,,,https://mastodon.social/@paulcoxon

11/9/2022 13:34:43,Prashant Godase,@prashant940729,,Specilist in Mass spectrometry and gas spectrometry LCMSMS ,,??

11/9/2022 13:38:44,Lila Guterman,@lguterman@mastodon.online,@lilaguterman,"Science journalist. Deputy News Editor, Science Magazine. Previously: C&EN, Science News, Chronicle of Higher Education",#science #news #journalism #medicine #research,https://mastodon.online/@lguterman

11/9/2022 13:49:41,Michaela Loveless,@mkl@mas.to,@M_K_Loveless,2nd year graduate student in the Flood Group at Indiana University,#FlourescenceFriday #RealTimeChem,https://mas.to/@mkl

11/9/2022 13:58:31,Alfonso T. Garcia Sosa,@atgarciasosa@mastodon.social ,@atgarciasosa,,,https://mastodon.social/@atgarciasosa 

11/9/2022 14:01:31,Barney Grubbs,@barneygrubbs@mastodon.social,@barneygrubbs,,,https://mastodon.social/@barneygrubbs

11/9/2022 14:12:49,Francesca Firth,@FC_Firth@mastodon.online,@FC_Firth,(Materials) Chemist. Ex-academic. Metal-organic Frameworks PhD; Ex- @greygroupcam; Fencing foilsð¤º and dancing shoes ð  not optional,#MaterialsChemistry #MOFs #EDI #Cambridge ,https://mastodon.online/@FC_Firth

11/9/2022 14:46:29,Debbie Gale Mitchell,@heydebigale@mastodon.online,@heydebigale,Magnetic resonance spectroscopist and chemistry professor at University of Denver.,#chemistry #RealTimeChem #Chemiverse #BikeTooter #Romancelandia,https://mastodon.online/@heydebigale

11/9/2022 15:46:42,Svetlana Tsogoeva,@Svetlana_Tsogoeva@mas.to,@Tsogoeva_Group,"Professor of Organic Chemistry at Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg (FAU, Germany)",#Catalysis #Organocatalysis #Photocatalysis #DominoReactions #OnePotReactions,https://mas.to/@Svetlana_Tsogoeva

11/9/2022 16:04:00,Oliver Dumele,@dumelelab@mstdn.science,@dumelelab,"Research Group Leader at Humboldt University Berlin, Organic Synthetic Chemistry",#chemistry #diradicals #suprachem #aromaticity #COFs,https://mstdn.science/@dumelelab

11/9/2022 16:08:30,Vincent Voelz,@voelzlab@mas.to,@voelzlab,Computational biophysical chemistry group at Temple University,#compchem #biophysics #molecularsimulation #drugdiscovery ,https://mas.to/@voelzlab

11/9/2022 16:20:31,Michael Hore,@mjahore@mstdn.science,mjahore,"Polymer physics, neutron scattering, polymer theory/simulations ",Polymers neutrons hiking programming physics,https://mstdn.science/@mjahore

11/9/2022 16:40:58,Bernhard VKJ Schmidt,@schmidtpolylab@mastodon.green,@schmidtpolylab,,#polymers #photocatalysis #MOF #hydrophilicpolymers ,https://mastodon.green/@schmidtpolylab

11/9/2022 16:46:00,Mario Fasching,@faramir3@qoto.org,,"industrial organic chemist, likes NMR",#NMR  #supermolecular # hydrogel,https://qoto.org/@faramir3

11/9/2022 17:00:13,Cesar Alejandro Urbina-Blanco,@cesapo@mastodon.lol,@cesapo,"I'm an organometallic chemist, turned computational chemist, turned business developer. Loves cooking and Taylor Swift! ",#ML #AI #ChemistsWhoCook #DEI ,https://mastodon.lol/@cesapo

11/9/2022 19:21:42,Barbara Ciani,@DrBCiani@mstdn.social,@BCiani,"Misplaced biophysical chemist playing with proteins, peptides and cell biology. Dog lover (cats are not bad too). Landed in Yorkshire via Rome, Brighton, Nottingham, Chester. I works best when I collaborate - do reach out!",#pets #food #Italy #ESCRT #membranes ,https://mstdn.social/@DrBCiani

11/9/2022 20:36:11,Lara Mahal,@glycocode@mstdn.social,@glycocode,I am a Professor of Chemistry and CERC in Glycomics at the University of Alberta. My lab studies glycosylation and  also miRNA using systems and chemical biology approaches.,#glycotime #chemicalbiology #chembio #lectin,https://mstdn.social/@glycocode

11/9/2022 21:04:01,Bjoern Baumeier,@treeeggs@mastodon.online,@treeeggs,Associate Professor Computational Quantum and Molecular Dynamics at Eindhoven University of Technology. Working on Multi-scale Modeling of Excited States in Molecular Materials with Many Body Greenâs Functions. Developer of VOTCA-XTP (GitHub.com/votca). ,#compchem ,https://mastodon.online/@treeeggs

11/9/2022 21:05:57,Bruno M. Aramburu T.,@ChemBruChem@qoto.org,@chembruchem,"Hi there! I'm Bruno, PhD in Chemistry from University of Buenos Aires. Did a first postdoc at UNC-Chapel Hill at prof. Jerry Meyer group, and currently completing a second one at ICIQ under the direction of Prof. Antoni Llobet. I'm really passionate about fundamental topics on inner and outer sphere electron transfer, intermolecular and interfacial. Lately I've been exploring more about homo- and heterogeneous catalysis (designing hybrid systems based on semiconductor-molecular cat.), while at the same time developing a borderline passion for road cycling. I plan to return to my home country soon to start my independent career, steering back to fundamental topics.",#ChemTwitter #ChemistsWhoCook,https://qoto.org/@ChemBruChem

11/9/2022 21:12:10,Manfred Jung,@chemepi@c.im,@chemepi,"Chemical Epigenetics group at University of Freiburg, Germany","#medicinalchemistry, #chemicalbiology, #epigenetics, #chemistswhocook",https://c.im/@chemepi

11/9/2022 21:26:37,Peter Grice,@pg10003@mastodonapp.uk,@nmr_guru,Retired chemist - synthesis > carbohydrates > group admin > nmr manager > cat servant + baker + DLG pilot ,#catsoftwitter,https://mastodonapp.uk/@pg10003

11/9/2022 22:23:49,Michael Ruggiero,@ruggiero@mstdn.science,DrMikeRug,Associate Prof at UVM and Topic Editor at Crystal Growth and Design,,https://mstdn.science/@ruggiero

11/10/2022 0:54:38,Rudy DM,@spectracular@fediscience.org,@spectracular,NMR scientist developing miniaturized NMR devices,#NMRchat ,https://fediscience.org/@spectracular

11/10/2022 2:46:59,Brendan Burkett,@chemscrapes@mastodon.online,@chemscrapes,,#chemistry #chemcartoons #chemfoolery ,https://mastodon.online/@chemscrapes

11/10/2022 3:27:44,Sbahzada,@shahzada@mstdn.social,@shahzada80,"Professor, Building bridges with Chemistry and Energy, Science for society. Renewables","Thin film PV, Solar Cells, Perovskite solar cells, Semiconductors, Climate crisis. ",https://mstdn.social/@shahzada

11/10/2022 7:56:13,Derk Kooi,@DerkKooi@mastodon.social,@DerkKooi,"PhD student in Theoretical Chemistry. Focusing on method development in Density Functional Theory and One-body Reduced Density Matrix Functional Theory. Topics: London dispersion, van der Waals interactions, thermal effects, strong correlation, machine learning.",#dft #rdmft #ai ,https://mastodon.social/@DerkKooi

11/10/2022 8:00:16,Oli Hammond,@olihammond@mas.to,@Olihammond,Researcher of âgreenâ ionic liquid and deep eurectic solvent nanochemistry in Scandinavia ð¸ðªð©ð°,#chemistry #greenchem #synchrotron #travel #food,https://mas.to/@olihammond

11/10/2022 8:00:42,Tom Grossmann,@TomNGrossmann@mstdn.science,@TomNGrossmann,Chemistry professor at VU Amsterdam and co-founder of incircular,#peptidomimetics #proteomimetics #incypro #incircular,https://mstdn.science/@TomNGrossmann

11/10/2022 8:11:49,Nessa Carson,@SuperScienceGrl@toot.cat,@SuperScienceGrl,,#chemtwitter #automationChemJobs #RealTimeChem #Caturday,https://toot.cat/@SuperScienceGrl

11/10/2022 8:30:09,Paul Stevenson,@gleet@mastodon.social,gleet_tweet,Lots of things that are chemistry-adjacent: nuclear physics; quantum computing; quantum biology. ,,https://mastodon.social/@gleet

11/10/2022 8:31:03,Rike MÃ¼ller-Werkmeister,@rike@fediscience.org,@rike_mw,"Assistant Prof for Physical Chemistry in Potsdam/DE, ultrafast spectroscopy and time-resolved crystallography, trained Biochemist/Physicist, previously in Frankfurt, Toronto, Hamburg, MSCAalumna",#dynamics #chemistry #academiclife #WomeninSTEM,https://fediscience.org/@rike

11/10/2022 8:48:19,Leo Betschart,@betschart@qoto.org,@BetschartLeo,Organic chemist gone chemical information specialist. ETH Zurich,#chemistswhocook #chemistswhobake,https://qoto.org/@betschart

11/10/2022 8:51:28,Ben Bellenie,@chembellenie@scicomm.xyz,@chembellenie,,#medicinalchemistry #drugdiscovery #drugdesign #chemistry,https://scicomm.xyz/@chembellenie

11/10/2022 8:53:54,Andrew Bissette ,@bissette@mastodon.org.uk,@andrewbissette,,#chemistry #publishing #nonsense,https://mastodon.org.uk/@bissette

11/10/2022 9:11:32,Ben Partridge ,@BoronChem@mastodonapp.uk,@BoronChem,Lecturer in organic chemistry ,#BoronNotBoring #lab #academia #OrganicChemistry,https://mastodonapp.uk/@BoronChem

11/10/2022 9:25:28,Avena Ross,@avenaross@mastodon.nz,@AvenaRoss,"Associate Professor of Biological Chemistry at Queen's University in Canada, Interested in Natural Products Discovery and Biosynthesis","#NaturalProducts, #Biosynthesis #EDI, #ProudPI, ",https://mastodon.nz/@avenaross

11/10/2022 9:41:34,Patrick Schanen,@pschanen@mstdn.social,@pschanen,"Industrial organic chemist, previously process development, now process safety","#chemistry, #chemsafety",https://mstdn.social/@pschanen

11/10/2022 11:29:49,Aloysius Soon,@AloysiusSoon@mastodon.social,@AloysiusSoon,"Professor, Materials Theory Group, Department of Materials Science and Engineering, Yonsei University",#academic; #journal_news; #research; #materials,https://mastodon.social/@AloysiusSoon

11/10/2022 11:35:44,Ganna (Anya) Grynâova,@grynova_CCC@mastodon.social,grynova_CCC,,"compchem, MachineLearning, materials",https://mastodon.social/@grynova_CCC

11/10/2022 12:59:06,Peter Kraus,@pkraus@berlin.social,@pk_kraus,"Applied computational chemist interested in heterogeneous catalysis and molecular structure. As of Oct. 2022, starting my own group at TU Berlin.","#compchem, #fairdata, #automation, #opensource, #openaccess",https://berlin.social/@pkraus

11/10/2022 14:18:12,Florent Louis,@FlorentLouis59@mastodon.online,@FlorentLouis59,Associate Professor at the University of Lille interested in environnemental chemistry using molecular simulations ,#atmoschem #compchem #environment #pesticides #halogens,https://mastodon.online/@FlorentLouis59

11/10/2022 14:34:24,Fun Man Fung,@chemfunman@techhub.social,@chemfunman,"Digital futures in learning, IUPAC ChemEd, Council member, Singapore National Institute of Chemistry ð§ª ",#ChemEd #mentorship #edtech #empowerment #technology,https://techhub.social/@chemfunman

11/10/2022 14:37:09,Oscar N. Ventura,@ONVentura@mastodon.online,ONVentura@twitter.com,"I'm a computational chemist, leading the Computational Chemistry and Biology Group at Montevideo, Uruguay. Our papers can be found at https://scholar.google.com/citations?user=_mKS0HQAAAAJ&hl=en and the website of the group is at http://detema.fq.edu.uy/ccbg/ (regretfully only in Spanish, but you can translate it with Google).",#chemisty #comutationalchemistry #chemicalreactivity #atmosphericchemistry #science,https://mastodon.online/@ONVentura

11/10/2022 15:17:20,Philipp Marquetand,@marquetand@mastodon.social,@marquetand,"Theoretical chemist (he/him) at University of Vienna. Machine learning, nonadiabatic dynamics, computational chemistry.",#compchem #ML #machinelearning #AI #chemiverse,https://mastodon.social/@marquetand

11/10/2022 16:16:37,Evan Walter Clark Spotte-Smith,@ewcspottesmith@mastodon.online,@EWCSpotteSmith,"Computational (electro)chemist, currently focused on electrolyte degradation and solid electrolyte interphase (SEI) formation in metal-ion batteries. Broadly interested in first-principles calculations, high-throughput computation, reaction networks, and sustainability.",#compchem #battchat #preprint #electrochemistry,https://mastodon.online/@ewcspottesmith

11/10/2022 16:29:05,Andrew Surman,@andrewjsurman@mstdn.science,@andrewjsurman,,,https://mstdn.science/@andrewjsurman

11/10/2022 17:23:44,Per-Ola Norrby,@peonor@mstdn.social,@PeONor,"Former academic, organic & computational chemistry. Since 2013 @AstraZeneca",#chemjobs #compchem #ReactionMechanisms #Catalysis #sarcasm,https://mstdn.social/@peonor

11/10/2022 17:53:45,Jeremiah Gassensmith,@gassensmith@ioc.exchange,@gassensmith,,#Chemistry #ChemTwitter #ChemShitPoster #Chemiststhatcook,https://ioc.exchange/@gassensmith

11/10/2022 17:56:00,Jeff Bodwin,@DrBodwin@mastodon.world,@DrBodwin,Synthetic transition metal inorganic coordination bio analytical chemist. PUI faculty. Ceramic artist.,#ChemEd #RealTimeChem #CeramicsIsScience #GetOffMyLawn,https://mastodon.world/@DrBodwin

11/10/2022 17:57:23,Alice Walker,@arwalker_on_gpu@fediscience.org,@arwalker_on_gpu,"Asst. Prof.@Wayne State, working on computational simulations of fluorescent biomolecules",#compchem #chemistry #simulations #theoreticalchemistry #fluorescence,https://fediscience.org/@arwalker_on_gpu

11/10/2022 17:59:04,Andrew Carpenter,@apcarpenter@mstdn.science,@apcarpenter1,"postdoc, runner, chemistry of environmental and biological interfaces",,https://mstdn.science/@apcarpenter

11/10/2022 18:26:46,Mark Franklin,@MarkFranklin77@mastodon.online,@MarkFranklin77 ,"Head of Chemistry at SEPA, try to keep Scotland a resilient, fantastic place to live and work",,https://mastodon.online/@MarkFranklin77

11/10/2022 18:40:09,Corey Hopkins,@Hopkins_Lab@mstdn.science,@Hopkins_Lab,"I am a Professor of Pharm Sci at the University of Nebraska Medical Center. I have 20+ years experience in Pharma and Academic drug discovery. Interests include neuroscience and cancer drug discovery, homebrewing, cycling.",#targetproteindegradation #drugdiscovery #academia,https://mstdn.science/@Hopkins_Lab

11/10/2022 18:44:52,Matteo Cavalleri,@physicsteo@mastodon.online,@physicsteo,,#compchem #itsquantumbaby #selfiereviews #publishing,https://mastodon.online/@physicsteo

11/10/2022 19:43:42,Jovana V. Milic,@jovana_v_milic@mstdn.science,@jovana_v_milic,www.jovanamilic.com,#science #chemistry #collaboration #SciencePolicy #ScienceDiplomacy,https://mstdn.science/@jovana_v_milic

11/10/2022 19:59:43,Florence Williams,@ProfFJWilliams@mstdn.social,@ProfFJWilliams,Organic and Chem Bio Chemist,"#OChem, #Equity/Equality, #MedChem, #Lab/LifeBalance, #BoronChem",https://mstdn.social/@ProfFJWilliams

11/10/2022 20:42:26,Sergio Navalon,@sernaol@mstdn.science,@navalon_sergio,Professor at Departament of Chemistry at Universitat PolitÃ¨cnica de ValÃ¨ncia ,#fotohet,https://mstdn.science/@sernaol

11/10/2022 22:07:48,Georgina Zimbitas,@Zimbitas@mas.to,@zimbitas,"Lecturer in Chemical Engineering & SE WISE Hub Lead; My undergraduate studies were in Physical Chemistry (Greece, Australia) & my postdoctoral studies were in Surface Science (UK). My work involves both theoretical and experimental studies in various institutes (the UK and the Netherlands) and includes crystallisation (dynamics & kinetics), properties of soft materials and thin films, and ""green"" synthesis of nanomaterials. ",#science #engineering #EDI #random,https://mas.to/@Zimbitas

11/10/2022 22:38:21,Carl Poree,@cpchem@mas.to,@cpchem,Lecturer in Chemistry at the University of Manchester.,,https://mas.to/@cpchem

11/11/2022 0:36:50,Martin Voegele,@martinvoegele@fediscience.org,@Blendenfleck,Computational biophysicist | photographer | history+language nerd,,https://fediscience.org/@martinvoegele

11/11/2022 1:05:24,Mark Wilson,@markwbwilson@mastodon.social,@markwbwilson,"(he/him) Asst. Prof. of physics & materials chemistry at the University of Toronto, using laser spectroscopy to study excitonic (nano)materials. (wilsonlab.ca) Enthusiast, quite generally.",#Science #Chemistry #Nano #Spectroscopy #Upconversion,https://mastodon.social/@markwbwilson

11/11/2022 5:54:10,Mary Johnson,@maryljgonzalez@mstdn.science,@maryljgonzalez,,#chemistry #polymers #realtimechem,https://mstdn.science/@maryljgonzalez

11/11/2022 8:25:33,Stefan Weber,@Stefan_Weber@fediscience.org,@StefanALWeber,"Passionate scientist and atomic force microscopy #afm enthusiast interested in the hidden mysteries in #nanostructures of energy materials (#perovskite #photovoltaics). Also taming high potential water drops (#hydrovoltaics). MPI for Polymer Research and Johannes Gutenberg University Mainz, Germany","#ScanningProbeMicroscopy, #Perovskites, #EnergyMaterials, #Interfaces, #hydrovoltaics",https://fediscience.org/@Stefan_Weber

11/11/2022 8:40:18,Steve Edmondson,@steveedmondson@mastodon.xyz,@steveedmondson,"Senior Lecturer in Polymer Science at The University of Manchester, UK & Henry Royce Institute",#polymers #outreach #scicomm,https://mastodon.xyz/@steveedmondson

11/11/2022 9:04:06,JÃ³gvan Magnus Haugaard Olsen,@foeroyingur@fediscience.org,@foeroyingur,"Assistant Professor & Villum Young Investigator at DTU Chemistry, Technical University of Denmark, where I lead a small research group doing #compchem. We mainly focus on developing and applying multiscale methods to study spectroscopic processes in biological systems.",#compchem #qmmm,https://fediscience.org/@foeroyingur

11/11/2022 9:19:40,Anthony England,@ebolaphone@mstdn.social,@ebolaphone,"Used to be a decent PhD chemist, now, not so much, but it's good knowledge for pub quizzes and baking. Science in the developing world will always grab my attention",#chemistry #energy #africa #catalysis #scicomm,https://mstdn.social/@ebolaphone

11/11/2022 9:21:12,BlurredVision,@bronwenann@ohai.social,,"I am Bronwen Dekker from Nature Protocols. Human being first! Then musician, then editor.",,https://ohai.social/@bronwenann

11/11/2022 9:26:14,Seb Spain,@sebspain@mastodon.social,@sebspain,,,https://mastodon.social/@sebspain

11/11/2022 9:33:25,Anthony J. H. M. Meijer,@DrAnthonyMeijer@fediscience.org,@DrAnthonyMeijer,,"Comics, science, compchem, chemistry, astrochemistry",https://fediscience.org/@DrAnthonyMeijer

11/11/2022 10:41:39,Akshay Chauhan,@grumpy_molecule@ohai.social,grumpy_molecule,,#SciComm #cricket #chemistry #memes #politics,https://ohai.social/@grumpy_molecule

11/11/2022 11:18:39,Chrostof JÃ¤ger,@christofjaeger@mstdn.social ,@christofjaeger,Compchemist transitioned from Academia to Pharma. ,#compchem #Chemistry ,https://mstdn.social/@christofjaeger

11/11/2022 11:59:15,Stephen Davey,@stephengdavey@mstdn.social ,@stephengdavey,"Chief Editor of Nature Reviews Chemistry,  former immigrant, sometimes Happy Hammer.",#chemistry #editing #football #politics,https://mstdn.social/@stephengdavey 

11/11/2022 13:22:59,Rachel O'Brien,@rachelOB1@mastodon.social,@Rachel_E_OBrien,,"#AirQuality, #IndoorChemistry #Aerosol #AtmosChem",https://mastodon.social/@rachelOB1

11/11/2022 13:24:42,Francoise Aouane,@aminathechemist@mstdn.social,@aminathechemist,,,https://mstdn.social/@aminathechemist

11/11/2022 13:41:45,Meagan Oakley,@meaganoakley@mastodon.online,@meaganoakley,,,https://mastodon.online/@meaganoakley

