Timestamp,What name do you want to be listed by?,"What is your Mastodon handle (@user@instance.name)? Please don't leave out the instance (server) as well. For example, @coolperson@mastodon.social, not just @coolperson. ","Chronological areas of interests (e.g. Early Modern, Tang dynasty, 19th century, etc.)","Geographical areas of interest (e.g. Southeast Asia, Tibet, Silla, RyÅ«kyÅ«, China)","Themes or areas of research of interest (e.g. intellectual history, gender, history of science, etc.)",Other short info for self-description,"If another list of Mastodon accounts is created that overlaps with the interests and focus of your submission (a humanities list, etc.) is created, may we share the info here with that list?","If you have an account on Twitter, consider adding your account handle here (e.g. @twitterhandle) to help your follows from there find you here:",
11/10/2022 11:38:43,Kaori Abe,@Kabe_xz@mastodon.social,"19th and 20th Century, Modern China ","Hong Kong, East Asia ","Social, business, cultural history, digital humanities ",Currently a postdoc at the University of Hull ,Yes,@abekaori_xz,https://mastodon.social/@Kabe_xz

11/10/2022 12:26:32,Jane Weng,@foundobject@mastodon.social,20th century,China,"Intellectual history, art history, history of science",PhD candidate in architectural history and theory at Yale,Yes,,https://mastodon.social/@foundobject

11/10/2022 22:48:03,Lisa Onaga,@lonaga@zirk.us,19th - 21st century,"Japan, RyÅ«kyÅ«","history of science, history of knowledge",,Yes,@lisaonaga,https://zirk.us/@lonaga

11/11/2022 2:49:48,Michael Manangu,@michaelmanangu@sciences.social,19th century onward,Southeast Asia,"public policy, history and politics of the welfare state, history and politics of education systems, political participation, statebuilding","Currently taking up an MA in Political Science at the University of the Philippines Diliman, works in public education for my day job",Yes,@michaelmanangu,https://sciences.social/@michaelmanangu

11/11/2022 20:11:50,Yi GU,@YiGu@scholar.social,"19th century, modern, contemporary","China, East Asia, Southeast Asia","art history, visual culture, STS","Working on the aesthetics of technology, cold war visual culture, DH, and interested in teaching Asian art in a global context, ",Yes,@YiGUevie,https://scholar.social/@YiGu

11/11/2022 20:22:10,Xin Han,@xinhan@mas.to,"Pre-Qin Era, Early Modern, Tang and Song dynasties, Contemporary China and Asian Studies","China, Eastern Asia, South Asia, Southeastern Asia","history of science,  development, state-society interactions, local and regional governance, community development, human-nature relations",https://sites.google.com/view/xinhan,Yes,@bingo_xin,https://mas.to/@xinhan

11/11/2022 21:09:34,Jeffrey Robertson ,@junotane@mastodon.social,Modern,"Korea, North Asia",Diplomacy and Foreign Policy,,Yes,@junotane,https://mastodon.social/@junotane

11/11/2022 23:30:52,Graham Sanders,@gmsprof@mastodon.online,"Premodern, especially Tang dynasty and later",China ,"Literature, poetry, narrative, translation",Associate Professor in East Asian Studies at the University of Toronto,Yes,,https://mastodon.online/@gmsprof

11/12/2022 2:28:21,Sean Marsh,@wu_ming@zirk.us,Song Dynasty,"China, Southeast Asia, maritime Asia","ethnicity, frontiers, colonial imaginaries, geographies, food","adjunct instructor and freelance copyeditor, Californian expat in South Carolina",Yes,,https://zirk.us/@wu_ming

11/13/2022 11:52:34,Made in China Journal,@MIC_Journal@mas.to,Contemporary,China,Labour; Civil Society; Politics,A fully open access journal on contemporary Chinese society and politics.,Yes,@MIC_Journal,https://mas.to/@MIC_Journal

11/13/2022 15:02:32,Yichi ZHANG,@plausistory@hcommons.social,18th century (Qing Dynasty),China,political history; history of administrative knowledge; governance of Qing state,,Yes,,https://hcommons.social/@plausistory

11/15/2022 13:13:36,Steve McCarty,@SteveMcCarty@hcommons.social,Prehistoric to Heian Period,Japan and Asia generally,"Syncretism of Buddhism, Shinto, and other Asian religions","Specialized in Japan, longtime full Professor in Osaka (living near Kyoto), sons surprisingly successful in Tokyo, 3/4 Japanese infant granddaughter!",Yes,@waoesteve,https://hcommons.social/@SteveMcCarty

11/16/2022 1:45:49,Kerim Friedman,@kerim@zirk.us,"Early Modern, Modern, Contemporary","Taiwan, India","colonialism, language politics, Indigeneity ",Taiwan-based anthropologist. äººé¡å­¸å®¶èå°ç£æ°ä½æ°ã,No,@kerim,https://zirk.us/@kerim

11/18/2022 11:18:47,Nathanel Amar,@nathanelamarHK@kolektiva.social,Contemporary ,China/Taiwan/HK/Sinophone diaspora,"Popular music, punk, Sinophone studies, cultural anthropology","Director of the CEFC Taipei, Academia Sinica, Taiwan",Yes,@nathanelamarHK,https://kolektiva.social/@nathanelamarHK

11/18/2022 12:22:47,Jeffrey J. Hall,@jeffreyhall@mstdn.jp,Modern/Contemporary,Japan,"politics, nationalism, internet activism, popular culture",,Yes,@mrjeffu,https://mstdn.jp/@jeffreyhall

11/18/2022 13:26:52,Uttara Shahani,@uttaras@mastodon.social,19th and Twentieth Century,"Sindh, South Asia","Colonial India, Partitions, Sindh, Refugees, Refugee Regimes","I am a #historian of colonial #India, #partitions, and refugee regimes with a primary focus on #Sindh and the Sindh diaspora. My teaching focuses on the history of postcolonial #borders and the history of #refugees and refugee regimes more broadly.",Yes,@uttaras,https://mastodon.social/@uttaras

11/18/2022 14:27:43,Yi-Tang Lin,@yitang_lin@mas.to,20th century,"East Asia (China, Taiwan, Japan)","history of science, medicine, and technology",,Yes,YiTangl1,https://mas.to/@yitang_lin

11/18/2022 14:53:52,Maximilian Mayer,@Maximilian_Mayer@mastodon.social,"Technology, infrastructure, int order, energy, climate change","East Asia, China","International relations, STS, media studies",,Yes,@mayer_iras,https://mastodon.social/@Maximilian_Mayer

11/19/2022 0:09:34,Jason Änanda Josephson Storm,@ghostimage@mastodon.lol,1600 to the present,Japan,"""religion"", science, philosophy, history","Author of ""The Invention of Religion in Japan"" and others",Yes,Ghost_Image_,https://mastodon.lol/@ghostimage

11/19/2022 5:13:11,Yilin Wang,@yilinwriter@wandering.shop,"Tang dynasty, Song dynasty, late Qing, modern and contemporary ","China, Hong Kong, Sino diaspora ","literature, translation, cultural studies, wuxia/xianxia fiction, classical poetry, feminism, gender, diaspora, migration","Fiction writer, poet, and literary translator",Yes,@yilinwriter ,https://wandering.shop/@yilinwriter

11/19/2022 20:41:50,Dove's Wings,@dovewings@zirk.us,,,,,Yes,,https://zirk.us/@dovewings

11/19/2022 22:40:30,Vitus Angermeier,@vangrmr@fedihum.org,"Pre-Modern, Ancient Times",South Asia,"Ayurveda, Sanskrit, history of medicine, epidemics","PostDoc at the University of Vienna, PI at the project ""Epidemics and crisis management in pre-modern South Asia"" ",Yes,@jalaukika,https://fedihum.org/@vangrmr

11/20/2022 4:08:46,Julian Dierkes,@jdierkes@sciences.social,"Modern, Contemporary","Mongolia, Japan","Education, democratization, mining, resource governance",Mongolia Focus blog (https://blogs.ubc.ca/mongolia/),Yes,@jdierkes,https://sciences.social/@jdierkes

11/20/2022 8:00:11,Giulia Sciorati,@GiuliaSciorati@mastodon.uno,Contemporary,China and Inner Asia ,Instrumental uses of memory and heritage ,Post-Doc University of Trento,Yes,@GiuliaSciorati,https://mastodon.uno/@GiuliaSciorati

11/20/2022 9:31:45,Joy Y Zhang,@DrJoyZhang@sciences.social,"Contemporary, early modern","China, India","Intellectual history, science, politics, IR, diplomacy","Iâm a sociologist working on transnational science governance, epistemic (in)justice and Global South",Yes,@drjoyzhang,https://sciences.social/@DrJoyZhang

11/20/2022 14:38:53,Ed Haynes,@EdHaynes@mastodon.world,"18th-20th twentieth century modern South Asia, especially Rajasthan",South Asia/India,"Rajputana States and other ""Princely"" States, environmental history, history of representing honour","Professor Emeritus of History, Winthrop University, USA",Yes,,https://mastodon.world/@EdHaynes

11/20/2022 21:54:44,Brook Hefright,@hefrightbe@social.cologne,20th century,China,"minority languages, ethnic identity",,Yes,,https://social.cologne/@hefrightbe

11/20/2022 23:33:03,Nilanjana Bhattacharjya ,@nilanjana@mas.to,Modern,"India, Bangladesh, Sri Lanka ","Music, film, gender",,Yes,@_nilanjana_,https://mas.to/@nilanjana

11/20/2022 23:40:10,HAMADA Maya,@hamatgwa@mstdn.jp,Modern China,Greater China,"literature, gender","Working in Kobe, Japan",Yes,@hamatgwa,https://mstdn.jp/@hamatgwa

11/21/2022 3:36:22,Assa Doron,@AssaDoron@aus.social,"Modern Asian Studies, India",India,"Health, media, religion, culture, environment, technology, public health ",Anthropologist at the Australian National University,Yes,@AssaDoron,https://aus.social/@AssaDoron

11/21/2022 8:06:26,Ushaym Tariq,@Izband@mastodon.world,South Asian Studies,Kashmir,Intellectual History,,Yes,@UshaymTariq,https://mastodon.world/@Izband

11/21/2022 12:41:36,Sabina Knight æ¡ç¨è¯,@SabinaKnight@zirk.us,"20th & 21st century + pre-Qin, Tang & Song","China, Taiwan, Comparative","literature, poetry, philosophy, media, translation",wannabe philosopher and public intellectual,Yes,@SabinaKnight1 & @SangBina (ä¸­è±éèª),https://zirk.us/@SabinaKnight

11/22/2022 10:01:23,Nick Stember,@beckminster@mastodon.social,Late Modern to Contemporary,"China, Taiwan, Hong Kong, elsewhere","comics, cartoons, visual narrative, print culture, HPS, science fiction",historian/translator/phd candidate,Yes,@beckminster,https://mastodon.social/@beckminster

11/22/2022 20:11:05,D. Elisabeth Glassco,@Deglassco@mastodon.social,19th and 20th Century ,United States,Media Representation,Lecturer/Doctoral Candidate/ABD,Yes,@deglassco,https://mastodon.social/@Deglassco

11/23/2022 21:00:40,Carolin Becke,@carorinrin@masto.ai,Edo Period - Today,Japan,"dress, media, society, norms & deviance",ECR,Yes,@carolin_becke,https://masto.ai/@carorinrin

11/24/2022 9:49:07,AlÃ­z HorvÃ¡th,@alizhorvathaliz@fedihum.org,early modern and modern,"East Asia (Japan, China, Korea)","intellectual and cultural history, historiography, colonialism, digital humanities, digital history, transnationalism","Assistant professor in East Asian History and DH at EÃ¶tvÃ¶s LorÃ¡nd University, PhD (University of Chicago)",Yes,@alizhorvathaliz,https://fedihum.org/@alizhorvathaliz

11/26/2022 7:42:03,Chandrashekhar Chavan,@cjc@universeodon.com,"Freedom movement, dalit, revolution, economy, science,",India,Policy Research,PhD student,Yes,@cjchavan7,https://universeodon.com/@cjc

11/27/2022 21:36:52,Eddie Schmitt,@edwin_schmitt@mastodon.social,"Modern, 19th century","China, Hong Kong, Tibet","ecology, energy resources, sustainability, rural development, cultural heritage, science and technology studies",,Yes,,https://mastodon.social/@edwin_schmitt

11/28/2022 22:53:47,Juan Acevedo,@acevedo@dizl.de,"Early and High Middle Ages, Early Modern",Arabian Sea; Indian Ocean medieval maritime routes; Japan,comparative religion; cosmology; navigation; Chinese martial arts,,Yes,@aceved0villalba,https://dizl.de/@acevedo

11/30/2022 2:16:51,Claudia Merli,@claudiamerli@mstdn.social,contemporary,"Southeast Asia, Thailand, Southern Thailand, Japan, Kyushu","cultural anthropology, medicine, public health, nation building, ethnic minorities, cosmologies, tsunami, ","Associate Professor, Uppsala University",Yes,@Claudia_Merli1,https://mstdn.social/@claudiamerli

12/5/2022 12:56:39,Noriko Manabe,@nmanabe@mastodon.social,20th/21st century,Japan,"Music, social movements",,Yes,@nmanabe,https://mastodon.social/@nmanabe

12/6/2022 0:29:09,Paula R. Curtis,@paularcurtis@zirk.us,"premodern, medieval",Japan,"social history, economic history, artisans, forgery",,Yes,@paularcurtis,https://zirk.us/@paularcurtis

12/16/2022 11:58:49,Laurie Raye,@ohmwu@zirk.us,"Han Dynasty, Three Kingdoms, Meiji/Taisho/Showa Japan","China, Japan, Nepal","Literature, legalism, sex and gender","RAS Fellow, affiliated with Cardiff University",Yes,@ohmwu,https://zirk.us/@ohmwu

12/17/2022 10:15:38,Kathrin Eitel,@kathrineitel@mastodon.world,contemporary,"Southeast Asia, Cambodia and Vietnam esp.","anthropology of environment, resilience practices, climate change",,Yes,kathrineitel,https://mastodon.world/@kathrineitel

12/18/2022 21:06:52,Britta Stein,@SmilingHaniwa@archaeo.social,"Prehistory, Yayoi, Kofun, Asuka","Japan, Korea","Archaeology, Heritage Management",PhD candidate and lecturer at Martin-Luther-University Halle-Wttenberg,Yes,@SmilingHaniwa,https://archaeo.social/@SmilingHaniwa

12/19/2022 4:04:06,Ravinder Kaur,@rkadelhi@mastadon.world,20th & 21st century,"India, South Asia",Histories of Capitalism ,,Yes,@rkadelhi,https://mastadon.world/@rkadelhi

12/19/2022 10:33:03,Feng SchÃ¶neweiÃ ä½å³°,@fengschoeneweiss@h-net.social,18th century to contemporary,Chinese-writing regions,"art history, archaeology, environmental history, material culture, museum","PhD candidate, East Asian art history & transcultural studies, Heidelberg University",Yes,,https://h-net.social/@fengschoeneweiss

12/19/2022 18:02:08,Richard CL Cheung,@richardclcheung@mastodonapp.uk,"Mostly premodern (early to mid-Heian/Silla), also medieval (NanbokuchÅ/KoryÅ)","Japan, Korea, Manchuria","diplomacy, trade, maritime history, piracy, merchants, regionalism, frontiers, court historiography",Master's student at Oxford University writing about Sillan piracy in Japan,Yes,@rclc_cheung,https://mastodonapp.uk/@richardclcheung

12/28/2022 20:06:09,Will Tuladhar-Douglas,@yetiinabox@todon.nl,8th Century onwards.,"Himalayas, montane regions","anthropology and history of Indigenous Buddhist communities, history of medicine, ecological anthropology",,Yes,,

1/8/2023 16:38:06,Keenan Manning,@little_aloo@mas.to,Contemporary,Hong Kong,"Citizenship, identity, belonging, higher education, ethnic minority, linguistic minority",,Yes,@kinyan852,

2/4/2023 0:12:03,Kate Lingley,@xiaolongnu@zirk.us,"Early Medieval, Tang","China, Central Asia","Buddhism, gender, ethnicity","Asst Prof, Univ. of Hawai'i at Manoa",Yes,@kate_lingley,

3/9/2023 11:27:19,The Open Buddhist University,@obu@digipres.club,,,Buddhism,Tooting out free educational resources,Yes,@buddhistuni,
